sectionName,string
,"Letters
The Role of Ocular Perfusion Pressure in Glaucoma Cannot Be Studied With Multivariable Regression Analysis Applied to Surrogates
Ocular perfusion pressure (OPP) is not easily directly measurable, and the difference between blood pressure and intraocular pressure (IOP) has been suggested as a simple surrogate of OPP.1 We write in relation to publications in this journal2,3 and elsewhere4 that have reported a significant association between OPP surrogates and glaucoma."
2 Methods,"Biological neurons in vivo show a substantial variability in the exact timing of action potentials to identical stimulus presentations (Calvin & Stevens, 1968; Softky & Koch, 1993; Shadlen & Newsome, 1998)."
Discussion,"Although not asked to patients themselves, our results indicated that physicians estimation was that patients’ perspective on NGS panels is likely to be highly positive (~66,5 %), coinciding with studies on pharmacogenomics/-genetics that did include patients in their study population [15, 16]."
,"A number of factors can cause different time estimates from different molecular data (for detailed discussions, see Nikoh et al. 1997; Gu 1997)."
Discussion,Moreno et al. (1991); Rojas et al. (2001) and Moreira et al. (2008) have previously shown more isoamyl acetate production in coinoculation of S. cerevisiae with a non-Saccharomyces in wine fermentations.
Introduction,"Two of themost important group of proteins involved in the cell cycle machinery are cyclins and cyclin-dependent kinases (CDKs) (Murray, 2004; Chulu and Liu, 2009)."
Introduction,"The rationale for using hRPE cells was based on their ability to secrete L-dopa from tyrosine, catalyzed by the enzyme tyrosinase, as part of their eumelanin synthesis pathway (Ito and Wakamatsu 2008)."
Discussion,"In contrast to the results here, Talukdar and Germida (1993) found that AMF colonization was different between lentil and wheat, and Scheublin et al. (2004) found that legumes were colonized by distinctly different AMF communities than nonlegume host plants."
Discussion,"Ozbag et al., found the prevalence of MBs to be 60 in 2002 (Ozbag et al. 2002) and 63 % in 2004 (Ozbag and Kervancioglu 2004) in sheep hearts."
1 Introduction,"The studies on VA are conducted for several languages and actual datasets are acquired for different languages including English [12, 13], German [14], French [15], Spanish [16] and Chinese [17–19]."
4. Discussion,"…implicated the MEK/ERK signalling pathway in IFN-γ-stimulated iNOS expression; thus, exposure of microglial/ macrophage cells to this cytokine in the presence of MEK or ERK inhibitors inhibited the effect of IFN-γ (Blanchette et al., 2003; Han et al., 2003; Park et al., 2005; Shen et al., 2005)."
Results,"Moreover, the publications suggest that the approach makes it possible to foster a ‘shared responsibility between students and instructors’ (McLaughlin et al., 2014, p. 242), and overall, optimising classroom time is often specifically emphasised (Gannod et al., 2008; Mason et al., 2013; McLaughlin…"
Discussion,"Six studies [7, 15, 20, 24, 26, 27] were prospective, and two studies [18, 23] were randomized controlled studies."
3 Related Work,"phi is a meta-program interpreted in [112, 24] as a second-order predicate which applies to the predicate p."
Discussion,The results of this study indicate that the accumulation potential of feathers are in accordance with Skoric et al. (2012) and Misztal-Szkudlinska et al. (2012).
ActiveLeZi,"Another on-demand algorithm that considers several Markov models is ActiveLeZi [Gopalratnam and Cook, 2007]."
Methods,Zung Self-Rating Anxiety Scale (SAS) (6) was used to assess the degree of anxiety in pregnant women.
METHODS,"The Western immunoblotting procedure was used to localize and quantify Ca2 -ATPase, PLN, CaM kinase II, and calsequestrin in SR membrane vesicles and cardiac muscle homogenates according to the procedure described by Xu and Narayanan (59)."
1. Introduction,"As stated by Spyropoulos (2000), a hospital infrastructure is composed of:
(a) Human resources: physicians, nurses, administrative personal, technicians for equipment maintenance, etc. (b) Intensive therapy units, with an expensive infrastructure.
ll rights reserved.
ta Filho)."
Discussion,"Indeed, mammalian nuclear receptors such as PPAR-a and PPAR-c are activated by fatty acids or their derivatives [26,27] and structural analysis of the ligand binding domain of HNF4a revealed long chain fatty acids bound in the ligand binding pocket [35,36]."
"John M. Howell,1 Thom A. Mayer,1 Dan Hanfling,1 Allan Morrison,2 Glenn Druckenbrod,1 Cecele Murphy,1 Robert Cates,1 and Denis Pauze1","We retrospectively compared 2 methods that have been proposed to screen for IA [1, 2]."
Introduction,"Mammals, birds and reptiles have six MBDs; nematodes and insects contain four MBDs, whereas bacteria or lower eukaryotes (e.g. yeast) contain only one or two MBDs (Yu et al. 2017a)."
RESULTS,"The implied translational impairment of Scp160p target mRNAs in Scp160p-deficient cells is consistent with their slow-growth phenotype, especially when grown on media supplemented with translation elongation inhibitors (11,12)."
2 DATA-DRIVEN KC MODEL REFINEMENT USING THE ADDITIVE FACTORS MODEL,"Despite these limitations, AFM has turned out to be very useful in practice, for example in helping to refine KC models in given task domains [1,18,19,23], as we do in the current paper."
Introduction,", 2001) have been conducted since the establishment of highly active antiretroviral therapy (HAART) as the standard of care, with six additional studies (Baigis et al., 2002; Lox et al., 1996; MacArthur et al., 1993; Perna et al., 1999; Stringer, Berezovskaya, O’Brien, Beck, & Casaburi, 1998; Terry et al., 2006) including subjects on some type of antiretroviral therapy."
Tissue preparation,"In five consecutive sections, five measurements of GCL width were performed at 25 μm intervals (Haas et al., 2002; Houser, 1990) using AxioVision software (Carl Zeiss AG, Oberkochen, Germany)."
1 INTRODUCTION,"Several routing schemes as surveyed in [16] adopt the planar graph [24] derived from the unit disk graph (UDG) as their network topologies, such as GPSR [3], GFG [17], Compass Routing II [18], AFR [19], GOAFR [20] GOAFR+ [21], GOAFR++ [16], and GPVFR [22]."
Results,b-catenin normally associates with E-cadherin and with a-catenin and thereby participates in the regulation of cell-to-cell adhesion (Vleminckx and Kemler 1999; Miyoshi and Takai 2005).
Introduction,", 1983), along with downstream substrates, including NMDA receptors (NMDA-Rs) and AMPA-receptors (AMPA-Rs) (Yoshimura et al., 2000)."
METHODS,"The Delphi method is an iterative, anonymous, data-driven survey method that facilitates expert-group consensus building.(22) The four defining characteristics of the Delphi method were upheld throughout the process: anonymity, iteration, controlled feedback, and statistical group response."
DISCUSSION,"These results are consistent with those of Liong and Shah, who reported that decreased fecal Escherichia coli counts result from probiotic feeding in rats (46)."
