sectionName,string
Discussion,"Replacing behaviors associated with a low energy expenditure by just 10 min of MVPA per day can have a significant impact on health outcomes such as obesity [16, 24]."
5 Experiments,"We assume the remote system has a complex classifier f0, in our experiments 500 gradient boosted trees using XGBoost [4]."
Implementation,"Though
we would eventually like to include a discovery module in our implementation that assembles the required knowledge bases dynamically by identifying suitable content on the semantic Web, for example, through the automatic generation of queries issued to semantic repositories such as Bio2RDF [15, 16] and DBpedia [17], the current implementation requires manual intervention during the composition of the needed datasets."
,"However, from that data we can not draw any conclusions regarding the relationship between public and See Takalo (2012) for a survey on public innovation policies."
1 Methods,1.5 Variant annotation We used the ANNOVAR [10] tool (version 2013-02-21) to annotate SNPs and indels.
1 Introduction,"However, from that data we can not draw any conclusions regarding the relationship between public and
1See Takalo (2012) for a survey on public innovation policies."
Discussion,Sijen et al. (2001) described silencing of the endogenous dfrA promoter in Petunia.
2.2 AP-SVM,[24] showed that the above optimization can be performed efficiently by sorting the samples xk in descending order of the score w ψ(xk).
RESULTS,"Previously, a phosphoproteomic study demonstrated that AbfR1 is phosphorylated in vivo at a tyrosine and serine residue, Y84 and S87 (Reimann et al., 2013)."
4. Discussion,", 1991) and have a lower OX1 expression than haematogenously derived cells (Sedgwick et al., 1991)."
Methodology,"Based on the Born method, aggregation measurements provide an aggregation index curve describing the light transmission intensity changes of the PRP samples (15, 64)."
Figure legends,(E) Sensorgram for FLNA(16-23) binding kinetics to immobilized ICL3 peptide as in D.
Methods,"We administered the Conflict Resolution Style Inventory (CRSI; Kurdek, 1994) [40] to measure adolescents’ style of handling conflicts in the current romantic relationship."
Results,"…Spire1C KIND domain decreases ER-mitochondria overlaps Since ER tubules have been implicated in mitochondrial constriction and division (Friedman et al., 2011; Korobova et al., 2013; Murley et al., 2013; Korobova et al., 2014), we investigated whether Spire1C influences ER-mitochondria association."
2. Results and Discussion,"Similar N-acylation of the acetamide and/or N, N-diacyl substitutions were previously reported for the acylation of chitosan [16] and chitin [5, 9]."
METHODS,"Expression values were extracted using two model-based expression indexes as implemented in the dChip package (Li and Wong, 2001a) using default parameters and normalization."
Methods,"To assess whether distractor size manipulations also affected hand transport control, the maximum tangential velocity of the wrist marker in the plane of the work surface, a conventional and sensitive index of hand transport was also calculated (Gentilucci et al. 1991; Jakobson and Goodale 1991)."
,"In this chapter, we focus on the use of two-photon laser scanning microscopy, which has enabled the monitoring of hundreds of individual neurons in anesthetized (26), awake and behaving animals (9, 11, 27, 28) as well as neurotransmitter uncaging at the level of individual dendritic spines (29, 30) or at many discrete sites simultaneously (15)."
Phrase Sets for Text Entry Experiments,"[23] emphasized the memorability of phrases, and proposed a method for sampling memorable and representative phrase sets based on a multiple regression model."
Discussion,"These
 results suggest that H2O2 was not involved in the osmotic stress-ethylene production, which is inconsistent to the results described by Watanabe and Sakai (1998) in winter squash (Cucurbita maxima), who suggested H2O2 would be involve to the expression of gene for a would-inducible 1-‚Äö√Ñ¬∂"
,"The inhibition of down-regulation of HMGA2 by gene knockdown of unrelated ALKs based on the current signaling model [4–7] may be indirect effect, because gene expression was examined at 24 h after ligand stimulation."
Discussion,"Contrary to our finding, the association of long intervals and pregnancy complications, such as pre-eclampsia, preterm birth and SGA,were also reported in some studies.4,7 Conflicting results may be due to lack of standardized definitions used for IPI."
DISCUSSION,"[12] At neuroimaging, venous hypertension and cerebral edema caused by straight sinus thrombosis typically result in high signal intensity in the bilateral thalami and basal ganglia.[1,6] In the present case, FLAIR showed characteristic hyperintensity in the bilateral basal ganglia and thalami as mentioned above."
,"The reviewed articles also addressed e-health readiness assessment from varying perspectives, such as electronic medical records,(18) telemedicine,(14) rural communities,(13,14,21) or developing countries.(3,10,11,19) Discussion"
4 Experiments,"Breese et al. (1998) present a number of different algorithms for collaborative filtering, including two Bayesian approaches."
Methods,"1; and Slobounov et al. 1997,
1998; Haibach et al. 2007; Slobounov et al. 2008 for details)."
Discussion,"However, this resistance to drought is much lower than observed for many Pulmonates which may survive several months or even more to the desiccation (Barbosa and Barbosa 1959; Cridland 1967; Véra et al. 1994)."
Discussion,"Consistent with previous studies [19] and guidelines and recommendation for weight loss [26-28], our results showed that most of the GPs gave advice on lifestyle, dietary and physical activity."
,"Our finding is consistent with other studies which have also highlighted the involvement of this novel molecule, Ara-LAM, in inducing proinflammatory responses (IL-8, TNF-a) in macrophages via interacting with TLR-2 [26,27]."
,A comparison of the chemical structures of equol and estradiol (Setchell et al. 1984).
Introduction,"Lamotrigine monotherapy (50–200 mg daily) was also reported to be superior to placebo in the treatment of nonrapid cycling bipolar I depression in adults and uncontrolled observations have suggested possible antimanic [19,20], antidepressant [21], and anticycling/mood stabilization properties [13,19,22]."
Methods,"Size information from the centered and oriented outlines was removed with a uniform scaling of the pseudolandmark configurations to unit centroid size (Benazzi et al., 2011a, b, 2012)."
METHOD,"ation (birth weight, head circumference, crown-heel length, standards of fetal growth according to Lubchenco et al.(6)), and vertical transmission of HIV-1 were determined."
5. A comparison with sound generation models,"These models are the radial-modesof-vibration model of Abdullah (1966), the tornado/ boundary interaction model of Tatom et al."
,"5 mg), GST-53BP2(715-1005) (1 mg), GST-GL(1-257) (1 mg), and GSTGL(94–257) (1 mg) were separated on duplicate SDS–12."
Identification of lysine propionylation in five bacteria,"Lysine propionylation was recently shown to be abundant in T. thermophilus, an extremely thermophilic Gram-negative bacterium that belongs to the Deinococcus–Thermus phylum (Okanishi et al. 2014)."
Discussion,"Although the measured values are below the toxic level (Lau and Wong 2000), one should wonder what consequences may derive from an ongoing intake of food packaged in plastic material."
2. Methods,"Normal FEV1/FVC was defined based on the NHANES III database and the ATS guidelines as values greater than 95% of the predicted for age, gender, and height [1, 10]."
VI. SUMMARY AND PHYSICAL IMPLICATIONS,"For reference we also include in Table III the results for the scalar field toy model with pure initial data (the s = 0 case) [21,22] (the results for generic initial data coincide with those of gravitational and electromagnetic perturbations)."
