sectionName,string
Results,"GATA-binding factors are both positive and negative regulators of vitellogenesis (23, 28), and discernible mRNA accumulation patterns are associated with distinct members of the GATA-motif family."
Allele-frequency Change Over a Times Series: The Fisher-Ford Test,"More recent examples for maize include Labate et al. (1999) and Coque and Gallais (2006) for yield selection, and Wisser et al. (2008) for disease resistance, while De Koeyer et al. (2001) examined yield in oats."
2.1 Endothelial cell studies,"Immunoblotting using primary antibodies for anti-eNOS (BD Biosciences), anti-phospho-eNOS Thr495 (Cell Signaling), anti-phosphoeNOS Ser1177 (Millipore), anti-eNOS (BD Transduction Laboratories), anti-RhoA (Abcam), and anti-b-actin (Sigma) was performed as described previously, following a 1 h incubation with IL-17 (mouse rIL-17A, 1 mg/mL; eBioscience).(28,29) Immunoblotting was also performed for these proteins in IL17-treated cells following co-treatment with an IL-17 neutralizing antibody (20 ng/mL for 30 min; BioLegend), the protein kinase C (PKC) inhibitor Gö6976 (1 mmol/L for 30 min; Sigma), the Rho-kinase inhibitor Y-27632 (50 mmol/L for 30 min; Cayman Chemical Co."
4. Discussion,"Our results are in agreement with those from others, who showed that a few specialized colons are responsible for the majority of S. aureus mastitis cases (Kapur et al., 1995; Akineden et al., 2001; Mork et al., 2005)."
4 Discussion,"When there are internally generated gamma rhythms, the stimulus with the largest magnitude is represented by the downstream population with a high probability; this result is similar to the previous
results (Börgers et al., 2005)."
Discussion,"However, other studies in RA patients have not found a correlation between the SE and PD or Pg antibodies [5,14]."
,"In the last 5 years, it has been published as the most comprehensive study on the distribution of PLCb1 in the mouse brain, showing that it is highly expressed in the somatodendritic compartment of principal neurons of the telencephalon (Fukaya et al., 2008)."
2 Stimulus-Specific Adaptation,"The findings from the experimental studies considered (Von der Behrens et al., 2009; Anderson et al., 2009; Malmierca et al., 2009; Ulanovsky et al., 2004, 2003) vary in
respect to their details but nevertheless appear to reveal a set of common relations between these basic parameters and the SI."
Implementation,"InFO is designed as a set of ontology design patterns [237, 121], which are described in Section 3."
Discussion,The histologic results are in conformity with those previously reported by several authors (Tansurat 1971; Viranuvatti and Stitnimankarn 1972; Bhamaraprarah et al. 1978; reviews in Schwartz 1980 and Flavell 1981; Riganti et al. 1989).
RESULTS,"Therefore, single-channel and the whole cell patch-clamp experiments confirmed the previous reports that ANG II stimulates ENaC by an aldosterone-independent and AT1R-dependent mechanism (6, 33)."
Introduction,…of the insect brain such as the central complex with its proven key role in sensory/motor coordination (Strauss 2002; Heinze and Homberg 2007; Strausfeld 2009) and spatial memory and orientation (Liu et al. 2006; Neuser et al. 2008) are built according to an elaborate molecular program whose…
Introduction,"2015), thereby contributing to a comprehensive understanding of the biology of sexually reproducing organisms (Griffiths and Tiwari 1993)."
2 Related Work,"For sentence-level similarity, Ji and Eisenstein [14] apply data-driven approach for weighting the features for paraphrase classification task."
1. Introduction,"Previous studies of the chronic intoxication with cylindrospermopsin [41] or MCs have shown proliferation of connective tissue and dilatation of tubules and glomeruli [19,29] filled with proteinaceous material."
INTRODUCTION,"In contrast, the pro-hypertrophic effects of the prototypical paracrine FGF family member, FGF2, were blocked by inhibitors of the Ras/MAPK cascade (Faul et al., 2011)."
Background,"Correct control of DNA methylation is vital to normal cellular function, and DNA methylation dysfunction has been linked to a number of human pathologies [18,19], including complex neuropsychiatric phenotypes such as schizophrenia and bipolar disorder [20]."
INTRODUCTION,", 1998), and it was then found that their impaired system initiates narcoleptic symptoms (Chemelli et al., 1999; Lin et al., 1999; Mieda and Yanagisawa, 2002; Sutcliffe and de Lecea, 2002; Sakurai, 2005; Nishino, 2007)."
DISCUSSION,"In particular, mesenchymal fibroblast growth factor–10 (34), endodermally derived fibroblast growth factor receptor–2 (35), sonic hedgehog (SHH)/GLI 2,3 (36), and retinoic acid receptors (37) each play important roles during early tracheal–pulmonary morphogenesis."
Introduction,", 2006) and Bombyx mori (Gui et al., 2006; Lee et al., 2009) and are involved in programmed cell death during metamorphosis."
5. A comparison with sound generation models,"Abdullah (1966) found expressions for the fundamental (F0) and first harmonic (F1) of the vibrational modes in Hertz to be
F0 4U2 C2 25 2 16 2C 2 R, 3 and
F1 4U2 C2 81 2 16 2C 2 R, 4 where C is the speed of sound in meters per second (a value of 330 m s 1 is used in making the estimates below), U…"
Discussion,"Based on these findings, the antagonistic activities between Nodal and BMP signaling are at least in part due to the formation of signaling-inactive Nodal (or Xnr3) -BMP heterodimers (Haramoto et al., 2004; Yeo and Whitman, 2001)."
Methods,"To find neighboring genes on the genome, a custom track for the ‘374 Gene Set’ was generated and analyzed with the UCSC Genome Browser [12]."
METHODS,"The cells, grown on 25-mm coverslips, were loaded with rhodamine 123 (R123, Molecular Probes) by incubation with 10 mg/ml for 30 min at 37°C (11, 12)."
Discussion,"Both from our laboratory and studies from other investigators demonstrated that clinical radiotherapy resulted in predominant activation of NFκB in surviving tumor cells including breast cancer cells [15-17,27-29,31,33,39]."
,"16S rRNA Gene Sequencing The 16S rRNA gene was sequenced for a random subset of 323 of the 459 isolates as described previously (Davelos et al., 2004c) (plot 1, n=146; plot 2N, n=51, plot 3, n=39; plot 4N, n= 27; plot 5, n= 42; plot 6N, n=18)."
Background,"Oxidized graphene nanomaterials were demonstrated to be able to serve as efficient carrier systems for the targeted delivery of chemical drugs [19-22] and biomolecules including proteins, DNA and siRNA [23-26] Furthermore, the potential of GO for biosensing [27,28] and bioimaging applications is being explored [29-32]."
,"We examined WC and WHR as measures of central adiposity, due to recent evidence suggesting that central fat may be superior to BMI in estimating the etiologic role of excess fat in CRC [1]."
4. Discussion,", 2006) and the circadian expression of heart mPai-1 was completely abolished in Clockmutant mice (Minami et al., 2002; Oishi et al., 2005a), these results suggest that the distal mPai-1 E-box identified here is a target for GC action and may contribute to the synchronization of Pai-1 by DEX in vivo."
4 Experiments,For this dataset we considered a linear kernel computed on a set of biologically inspired features [5] as well as the Gaussian kernel on the same features.
1. Introduction,"Recently, researchers have utilized novel distributed hash table (DHT) techniques to build virtual structures on overlay networks by mapping nodes to a specific structure be it a CHORD [12] or a coordinate space [11]."
Background,"It involves progressive fibrous and fatty replacement of myocardium in the inflow, apical and outflow portions of the right ventricle, resulting in ventricular tachycardia with incurrent risk of sudden death and in a proportion of cases, progressive RV dysfunction [1-5]."
Discussion,"These results extend bivariate findings from a previous study showing a significant association between multidisciplinary services and reduction of mistreatment risk in cases of elder mistreatment (Ernst & Smith, 2012)."
ROC Analysis,"The area under the curve represents the probability that the logistic regression model will rank a randomly chosen positive instance (i.e., an error) higher than a randomly chosen negative instance (i.e., nonerror; Fawcett, 2006; Macmillan & Creelman, 2005)."
Methods,"For metabolite assays, capillary blood ( 60 ll) was collected and treated according to methods described previously (Christmass et al. 1999)."
Methods,Data analysis Data from Gajdosik et al (1985) showed a mean difference between passive SLR and SLR/DF ranges of 10 degrees with a standard deviation of 5 degrees.
