sectionName,string
Discussion,"The few available studies of longitudinal changes in BMD in patients with HIV infection have shown conflicting results [13, 14, 18–23], which may relate to the heterogeneous use of antiretrovirals or, more importantly, to the timing of the first DXA measurements in relation to initiation of treatment."
4 Discussion,"Our results are better than those in many European countries, for example 29 % in Germany (Roggendorf et al. 2011), 26 % in France (Guthmann et al. 2012), 20 % in Italy (Esposito et al. 2008), 16 % in Greece (Maltezou et al. 2007), 24 % in Turkey (Torun and Torun 2010), 22 % in Australia (Seale et al. 2010a), and 18 % in China (Seale et al. 2010b)."
Discussion,"This difference reflects the frequent independent evolution of female flightlessness in Geometridae, usually in this family correlated with a specific set of ecological traits, the “winter moth syndrome” (Wahlberg et al. 2010)."
DISCUSSION,"region on cellularizing furrows, which is the region of the furrow to which membrane addition is known to occur (Lecuit and Wieschaus, 2000; Sisson et al., 2000; Pelissier et al., 2003), and furrow formation fails when Rab8 function is disrupted."
4.1 Methodology,"The radar observations serve as input for the MTT under evaluation, which is based on [11]."
Results,"Multi-tasking in particular seemed to cause concern and often resulted in feelings of anxiety and frustration [32,35]."
,"Imagebased models yielded joint kinematics, net joint moments, hip joint forces, muscle activation patterns and bone strains in the proximal-lateral femoral shaft in agreement with earlier studies (Aamodt et al., 1997; Bergmann et al., 2001; Inman et al., 1989; Kadaba et al., 1989; Stacoff et al., 2005)."
Introduction,"Journal compilation © 2008 British Ecological Society, Journal of Animal Ecology
(Borgatti & Everett 1997; Strogatz 2001; Barabasi et al ."
Methods,"Extension of protein annotation We used BacProt (publication in progress, see [33] for details) to complement the present annotation of protein-coding genes for each Aquificales genome."
Results,"The Sano protein is a member of the uncharacterized Themis protein family (Chung et al., 2009; Johnson et al., 2009)."
Introduction,"…and Medical Services, Faculty of Pharmacy, Kermanshah University of Medical Sciences, PO Box 67346-67149, Kermanshah, Iran
weight loss, amyloidosis, and osteopenia, all of which are a result of systemic inflammation (Hendrickson et al. 2002; Levine and Burakoff 2011; Schmidt et al. 2012)."
4. Discussion,"This is consistent with previous reports that LY379268, at the same doses, failed to alter sweetened milk or sucrose intake (Baptista et al., 2004; Bossert et al., 2006b), suggesting that mGluR2/3s are not involved in natural (food, sex) reward."
Methods,"As previously reported [12], adrenal vein cannulation was considered successful if each adrenal vein/inferior vena cava cortisol gradient was ≥1."
Discussion,(2002) determined that 3–4 days monitoring were required to accurately measure MVPA [5].
Introduction,"Moreover, the redistribution of FABP2 from the apical region to the entire cytoplasm after fat feeding pointed to the involvement of FABP2 in the intracellular binding, transport, and metabolism of FFA (3)."
,"There have been a number of in vivo mode ls with anesthetized animals that have examine d pyloric motor activity in response to intraarte rial and intrave nous stimuli, as well as stimulation of extrinsic and intrinsic nerves (4, 17, 28, 29) ."
THE TABLE COMPARES A NUMBER OF BASILAR PAPILLA FEATURES FOUND IN A VARIETY OF BIRD SPECIES.,Smith et al. (1985) describe a sudden widening in the apical 15% of the owl basilar membrane.
INTRODUCTION,"Previous work suggested that once Lprod, the length of the strand exchange product, exceeds ∼20 bp, bacteria are committed to strand exchange (19); however, studies of 21 bp sequences in different strains of Escherichia coli reveal that particular strains have from ∼10 000 to 175 000 unique sequences repeated at least once (20,21)."
INTRODUCTION,"As pathogens, members of this complex are responsible for causing disease on around 100 genera of plants (Farr et al. 1989), and they represent one of the most important group of pathogens associated with opportunistic fungal infections and keratitis in humans (Zhang et al. 2006)."
RESULTS,"Indeed, we quantified transcripts of CD3 and CD64, specific marker for T lymphocytes and macrophages, respectively, which are described as SLAMF3 expressing cells [22]."
Introduction,"…force for molecular ratchet motion does not seem to have been under strong evolutionary pressure, given that the replicase already possessed the molecular ratchet mechanism of movement which was driven by RNA synthesis itself (as in modern multi-subunit RNA polymerases (Abbondanzieri et al.
2005))."
Discussion,"Previously published results have also suggested interdependence between PI3 K/Akt/mTOR and Raf/MEK/ ERK signaling [41], and another study showed that inhibition of PI3 K or mTOR reduces the level of ERK Tyrphosphorylation in vascular smooth muscle under hyperglycemic conditions [42]."
Methods,"With IRT models, a sufficient number of responses in every response category are essential for precise estimates of item parameters [17]."
Results,"242), and overall, optimising classroom time is often specifically emphasised (Gannod et al., 2008; Mason et al., 2013; McLaughlin et al., 2014; Tucker, 2012)."
5.1. Experiments,"Single-category classification: We learned four types of interpretable CNNs based on the AlexNet, VGG-M, VGGS, and VGG-16 structures to classify each category in the ILSVRC 2013 DET Animal-Part dataset [36], the CUB2002011 dataset [30], and the Pascal VOC Part dataset [3]."
INTRODUCTION,"…it has been demonstrated that the activation of mTOR via the overexpression of Rheb, a direct activator of mTOR, is sufficient to induce an increase in p70S6k phosphorylation, cap-dependent translation and protein synthesis in skeletal muscles with normal activity (Goodman et al., 2011b, 2010)."
Background,"However, camphor is not suited for use as an analgesic compound because it causes a warm and hot sensation [39], probably through TRPV1 activation [31]."
3 Results,"First, there is no further increase in the percentage of time the membrane potential spends close to threshold, as the average membrane potential 〈V〉 becomes almost independent of 〈I 〉 (see Figure 3B; see also Holt & Koch, 1997)."
1 Introduction,"For example, in the face study, some studies have conducted on the differences between brain signals when watching face-object images and familiar-unfamiliar face images [7-11]."
,"Six papers seemed to specify a rate assuming equality of the experimental and control groups [12,15, 18-21]; seven seemed to specify the control group response rate, πC , assuming inequality [14,15,17,21-25]; and ten did not cite a design rate – in these cases we used the empirical estimate of πC from the paper’s Results section to classify extremity of the rate."
Enablers,"Studies find that women who continue to breastfeed are more likely to report having peers to share breastfeeding experiences with (Hegney et al, 2008)."
Discussion,"Increased survival rates resulting from advances in the treatment of cancer have led to an increased interest in patients’ emotional reactions a d adaptations to the illness (Massie and Holland, 1984)."
Discussion,"The present results identified a network similar to that of previous studies involved in the retrieval of autobiographical memories (Svoboda et al., 2006)."
INTRODUCTION,"For example, the bigram probability of the test set should be representative of that of the target dataset [31], and its memorability should also be maximized [23]."
Discussion,"Loss of
such autoreceptor function has been shown to increase cholinergic
tone, and to impair striatal LTD (Wess et al., 2007; Bonsi et al.,
2008)."
Introduction,"PDPN is primarily expressed in the mesenchymal type of GBM, which presents the worst prognosis among GBM subtypes (28,29)."
METHODS,control for any nonspecific effects of these antisera on SP1 activation (10).
Intestinal oxalate absorption,[17] presented a number of reasons that might account for the disparities between these two studies.
,"Interestingly, recent reports have shown that DSBs are transiently induced during transcriptional initiation by nuclear hormone receptors and other transcription factors through a mechanism that involves topoisomerase II beta (TOP2B) (4-7)."
16:1 2.7 2.9 7.9,The role of carbon substrates lead to different biomass/ substrate yields and also affect the formation of the targeted product through flux distribution is well investigated (Fan et al. 2012).
Materials and Methods,"Detailed information on soil collection, processing, and isolation is published elsewhere (Davelos et al., 2004a)."
Results,"We focused our analysis on the relationships between the age-upregulated miRNAs and the expression of genes in the Eph/ephrin pathway as Eph signaling regulates synaptic plasticity and loss of EphB2 has been linked to age-related cognitive dysfunction (Klein, 2008; Ciss e et al., 2011)."
Introduction,IS also induces oxidative stress in tubular and endothelial cells and stimulates aortic calcification in hypertensive rats [13–16].
1 Introduction,"We can distinguish two main models [6]: instance selection as a method for prototype selection for algorithms based on prototypes (such as knearest neighbors) and instance selection to obtain the training set, for a learning algorithm that uses a training set (such as classification trees or neural networks)."
Methods,"Determination of MAP
During a preliminary experiment, MAP was determined using the same procedure as has been previously described (Gamet et al. 1993)."
DISCUSSION,"Our results contrast with those of Drago et al. (1991), who reported that IGF-I acted as a survival factor for an FGF-2-responsive progenitor cell that gave rise to neurons and glia."
Preoperative Physical Activity,"Bond et al. reported similar results from a study using the RT3 triaxial accelerometer, which detects accelerations for each of the three planes across 1-min intervals and converts these data to activity counts per minute, which are used to estimate minutes of MVPA (defined as Q984 activity countsIminj1 in this study)."
METHODS,Isolated rat hearts were perfused at a constant aortic pressure of either 60 or 110 mmHg using the Langendorff procedure as described elsewhere (35).
Emotional Cueing Task,"In order to improve ABM interventions and optimize symptom change, there has been a recent push to better understand the active ingredients and mechanisms that underlie post-ABM changes in symptoms (Beard 2011; Enock et al. 2014; Mogoaşe et al. 2014)."
Methods,"The network model is similar to the model used in Fierst (2011a, b) and variants of this framework have been developed in a range of evolutionary studies (i.e.,Wagner 1996; Siegal and Bergman 2002; Bergman and Siegal 2003; Masel 2004; Azevedo et al. 2006; MacCarthy and Bergman 2007; Ciliberti et al. 2007a, b; Siegal et al. 2007; Palmer and Feldman 2009; Draghi and Wagner 2009; Espinosa-Soto and Wagner 2010)."
,"…screening of chemical libraries was performed to identify correctors (pharmacological chaperones) that could promote folding of Phe508 CFTR (Pedemonte et al., 2005; Van Goor et al., This work was supported by a grant from the Canadian Institutes of Health Research and a grant from the…"
3 Methods,"‚Ä¶automatically generates layout information encoding node and reaction centroid coordinates using the FruchtermanReingold (FR) algorithm, which has been shown to be robust in the face of variegated graph topologies and faithfully reproduces the underlying symmetry [Fruchterman and Reingold, 1991]."
Method,"Stimuli were generated using the Psychophysics Toolbox Version 2.44 (Brainard, 1997; Pelli, 1997) for MATLAB (Version 5.2.1, Mathworks, MA)."
5 DISCUSSION,"approach used in several instances of previous work, such as [2, 8, 35], by hiding unchanged nodes to reduce clutter and drawing connectors to the reference to enhance juxtaposition; b) side-byside views [14, 26, 27] by going beyond pair-wise comparisons; c) existing work on subjunctive interfaces [30], TreeVersity [15– 17, 19] and TreeVersity2 [18, 19] to show a larger variety of difference visualizations."
DISCUSSION,The MW cutoff would be lower for bases (28) and higher for acids (29) depending on the ionization of the compounds.
Discussion,…grasslands suggests that ‘‘pyric herbivory’’ (grazing in conjunction with fire) and the interaction of natural fires and free-roaming herbivores creates a natural and dynamic grassland mosaic which is beneficial to biodiversity (Engle et al. 2008; Fuhlendorf et al. 2008; Little et al. 2013).
1. Introduction,"We use the Bunge–Wand–Weber (BWW) ontological model, which has already been employed in various settings [3,15,16]."
Discussion,"In support of this assumption, in ARDS patients, TRAIL levels in the BAL fluid were correlated with clinical severity and the presence of neutrophils, which are also the major infiltrating cells in reovirus 1/L-induced ARDS (20, 84)."
Methods,"The oligo(dT)-precipitation was performed essentially as described in Baltz et al. (2012) with the following modifications: The number of washing steps was increased (4√ó with lysis/ binding buffer and 6√ó with NP40 washing buffer [50 mM Tris
 HCl, pH 7.5, 140 mM LiCl, 2 mM EDTA, pH 8.0, 0.5% NP40,‚Ä¶"
3. Tracking Algorithm Using the CT Feature,One of the reasons is that the target model contains some background pixels [15].
Discussion,"…has already been described in the reactive astroglia of other brain areas (sahin Kaya et al. 1999; clarke et al. 1994; Krum and Rosenstein 1999; Eliasson et al. 1999; Frisen et al.1995; Kalman and ajtai 2001), although the articles are not concordant with how long it lasts after traumatic insults."
Background,"Regarding the percentage of minor children of cancer patients, estimations with differing reliability vary between 5-15% [4], 24% (see [5]), and 30% [6]."
Introduction,"A design science approach was deemed the appropriate method as it represents a valuable means for generating theoretical insights and emergent solutions to the real-world problem of SCSR identification (Denyer et al., 2008; Holmström et al., 2009)."
2 DATA-DRIVEN KC MODEL REFINEMENT USING THE ADDITIVE FACTORS MODEL,"The accuracy of these predictions, in turn, can function as a measure of the accuracy with which a KC model characterizes the knowledge students acquire through particular educational activities [1,18-20], an approach we follow in the current work."
Introduction,"In a study that determined the response of the spine to sudden loads causing sagittal flexion, it was found that abdominal muscles rapidly responded to the sudden load with a large increase in muscle activation (Krajcarski et al., 1999). Also, Krajcarski et al. concluded that increases in EMG amplitudes of abdominal and trunk extensor muscles were determined predominantly by the added load magnitude and not the pre-loads. Chiang (in press) conducted a similar study with the difference being the trunk motion investigated was lateral bend instead of trunk flexion. Similar to Krajcarski et al. (1999), Chiang (in press) concluded that increased muscular activity due to pre-loads leads to increases in trunk muscle stiffness and spine stability. Krajcarski et al (1999) and Chiang (in press) have provided a greater understanding of the active muscular response that is responsible for maintaining stability."
Sociality and sexual segregation,habitats for which predation risk is high (Waser 1981; Rood 1986; Clutton-Brock et al. 1999a; Schneider and Kappeler 2014).
Discussion,"For instance, after only 1 week of storage the a-mannosidase activity showed a large decrease (,20% at 280uC and ,60% at 220uC), which confirmed the findings of a previous study (23)."
Discussion,"In the pancreas, this regulatory element expresses sparsely, and it is completely inactive before acinar formation (Masui et al., 2008)."
,"Since in the worst case a k-safe hypercube network Hn can tolerate no more than 2 (n−k)−1 faulty nodes [17, 35], this line of research still assumes a bound O(n) on the number of faulty nodes in Hn."
METHODS,"Forty of the protocols were for depression, with two studies (George et al., 2000; Su et al., 2005) directly comparing two protocols, and 19 were for the treatment of pain as summarized in Lefaucheur et al. (2014)."
INTRODUCTION,"Vitamin A supplementation in malnourished children reduces the severity of diarrheal disease (4), malarial morbidity (5), measles (6, 7), and mother-to-child transmission of HIV (8)."
Discussion,"Our findings indicate that a BNP level of 24.4 to 31.6 pg/ml is useful as an indication for surgery in ASD, VSD, and PDA patients; these results, in line with previous studies, make BNP a strong candidate as a predictive tool for early intervention.16,17 It is worth noting that a very recent study revealed that plasma BNP levels are elevated in children with heart disease before surgical treatment.32
 BNP concentration has been shown to be associated with the presence of a haemodynamically significant PDA in premature infants and to decrease to normal levels with ductal closure.33-36 In our study, which included older children with PDA, we found that patients with PDA and either a significant or a non-significant shunt always had significantly higher plasma BNP levels than all other groups (not only controls, but also patients with ASD and VSD)."
Discussion,"…protein S6 by phosphorylation at S240/244. mTORC2 contains rictor and phosphorylates Akt at S473, which, in conjunction with the PDK1-mediated phosphorylation at T308, drives full activation of Akt (Wullschleger et al., 2006; Dann et al., 2007; Guertin and Sabatini, 2007; Yang and Guan, 2007)."
Methods,Personality ratings Chimpanzees were scored by raters using a Japanese translation of the Hominoid Personality Questionnaire [36].
INTRODUCTION,"Moreover, cognitive abilities are usually positively related to gains from mnemonic training (Kliegl et al., 1990; Lindenberger et al., 1992; Verhaeghen and Marcoen, 1996)."
Results,"To date, all characterized GBP genes are induced by IFNs and some of them also induced by lipopolysaccharide, interleukin-1b (IL-1b), or tumor-necrosis factor-a (Nguyen et al. 2002; Degrandi et al. 2007; Tripal et al. 2007)."
4. Discussion,"A previous report demonstrated that MCE could increase the level of GSH [61] and GPx [65] in diabetic rats, which coincides with our results."
Introduction,"Because TKA is a high-volume, high-cost medical intervention, it is not surprising health-related quality-of-life outcomes have been developed to allow investigators to quantify preoperative to postoperative improvements in TKA patient health status [7, 8, 11, 14, 16]."
,"cells in the lungs and slow the production of cytokines, which promote the inflammatory cascade.(17) Ery-"
Introduction,"latter phenotypes are called competitive adaptations and include (i) strategies to take away resources from competitors (exploitative competition), for example by fast-butwasteful-growth [26], production of nutrient-scavenging molecules [27], or superior positioning within the niche [28], and (ii) strategies to directly fight with competing species (interference competition), for example by production of antimicrobials [29] or contact dependent inhibition [30, 31]."
