sectionName,string
1. Introduction,"Chlorhexidine has previously demonstrated an antibacterial spectrum that includes most of the microorganisms present in the oral cavity, such as Gram-positive and Gram-negative bacteria, bacterial spores, lipophilic viruses, yeasts and dermatophytes [7]."
Molecular genetic mechanisms of the,"This database has been updated with a yeast three-hybrid (Y3H) screen for MADS-domain proteins (Immink et al., 2009) using SEP3 as the third interactor."
Discussion,…94 Hart et al. 2003 [17] Manual postop xray 60 70 Hart et al. 2003 [17] Manual postop xray 60 93 Matsumoto et al. 2004 [27] Manual postop xray 30 67 Tillett et al. 1988 [42] Manual (IM) postop xray 25 92 Tillett et al. 1988 [42] Manual (IM) postop xray 25 92 Tillett et al. 1988 [42] Manual (EM)…
"278: R640–R645, 2000.","A 3-day duration of UUO was used, as both AT1 and AT2 receptors are abundant in the kidney at this age and renal AT2 expression falls rapidly in the neonatal period (27, 48)."
Chromatin-Modifying Drugs Transiently Disrupt,"We reasoned that drugs that alter chromatin, such as 50Aza and TSA, might be effective at disrupting Cdkn1c expression when epigenetic marks are consolidated (Bhogal et al., 2004; Umlauf et al., 2004)."
Methods,"Insulin sensitivity was measured using the insulin sensitivity index of Matsuda, a wellestablished measure of whole-body insulin sensitivity [16]."
Results and discussion,The discovery and characterization of new tick-protective antigens is important to improve existing vaccines for the control of cattle tick infestations (de la Fuente et al. 2007a).
Background,"SM/J individuals tend to be more responsive to the effect of a high-fat diet in relation to body weight, fat depot weight, organ weight, basal glucose levels, and triglyceride levels [23,24]."
5.2. Implications for Formation of Crustal Plateau Structures,"spatially localized faulting that characterizes ribbon structures [Hansen and Willis, 1996, 1998, and references therein; Ghent and Hansen, 1999]."
Methods,"The proportion of laboratory confirmed cases (n = 3634) among clinically diagnosed cases (10,966) is about 30% [25]."
Introduction,"Thirdly, ErbB-3 is characterized by a defective mechanism of clearance from the cell surface (Baulida et al., 1996; Pinkas-Kramarski et al., 1996): instead of ligand-induced internalization and degradation in lysosomes, a mechanism shared by many growth factor receptors (Sorkin and Waters, 1993), ErbB-3 is destined primarily to enter the recycling pathway (Waterman et al."
5.2.2.2 Endmember Determination,"Then, the 29 pixels whose NDVI values were greater than 0 and less than 0.2 were seen as non-vegetation pixels (Tsai et al., 2007; Noujdina and Ustin, 2008)."
Discussion,"As shown recently, a different member of the Krueppel-like factor family KLF4 demonstrated a potent antiapoptotic effect upon HDACi treatment which was mediated in part by direct binding and transcriptional upregulation of p57 followed by inhibition of the stress response phosphorylation pathway [42]."
1.5 The Mystery of the Sushi Repeats: GABAB(1) Receptor Isoforms,"…isoforms, despite the use of different experimental endpoints such as production of inositol phosphates (Brauner-Osborne
and Krogsgaard-Larsen 1999), competitive binding (Green et al. 2000; Kaupmann et al.
1998a; Malitschek et al. 1998) or coupling to Kir3 channels (Kaupmann et al. 1998a)."
1.1 Related Work,It was found in (Hulse et al. 2007) that the effectiveness of re-sampling for imbalanced learning depends on the evaluation metrics and base learning algorithms.
Introduction,"Thus we selected BG01 and HUES-7, which were independentlyderived at BresaGen (Mitalipova et al., 2003) and Harvard University (Cowan et al., 2004) using different embryo culture, inner cell mass isolation, hESC culture and hESC passaging methods."
Results,"We tested different classes of corrector molecules such as corr-2b, corr-3a, corr-4a, corr-4b (Pedemonte et al., 2005), VRT-532 (Wang et al., 2006), and VRT-325 (Loo et al., 2005) for their abilities to inhibit cross-linking of L339C (TM6)/F728C (TM7)."
4 Experiments,"To demonstrate the effectiveness and applicability of the proposed approach, we generated independent and anticorrelated data sets by using the same way that has been used to generate the datasets in [5]."
DISCUSSION,"Cross-talk between JA and SA signalling has been described in response to various attackers (Beckers and Spoel, 2006; Stout et al., 2006; Koornneef and Pieterse, 2008)."
Results,"Six cortical fields each contained a separate representation of sound fre-
quency (2–32 kHz), and the range of BFs mapped in all regions covered the range of pinna-related frequency and ILD cues in the rat (Koka et al., 2008; Tollin and Koka, 2009)."
DISCUSSION,"SNX27 however, possesses a unique PDZ domain involved in alternative cargo trafficking (Cai et al., 2011; Gallon et al., 2014; Lauffer et al., 2010; Lunn et al., 2007; Steinberg et al., 2013; Temkin et al., 2011; Valdes et al., 2011; Wang et al., 2013), and our results now suggest an additional unique property of this protein with respect to lipid headgroup association, interacting with PtdInsP species not bound by the other family members."
Discussion,"Because antibiotic inhibitory interactions can be highly specific among Streptomyces isolates (Davelos et al., 2004a; Vetsigian et al., 2011), the benefits of producing a single antibiotic may vary across communities."
Influence of Image Registration Strategy,"We demonstrate that a spatial registration strategy of pooling all data disregarding disease status or scanner (study site and/or MFS) produces results with the greatest validity in terms of biological plausibility (Frisoni et al., 2010)."
17.1 Introduction,"…of a relatively larger area or volume (Alidaee et al., 2009; Beard et al., 2006; Bertuccelli et al., 2004; Gancet et al., 2005; Kovacina et al., 2002; Kuiper and Nadjm-Tehrani, 2006; Lawrence et al., 2004; Merino et al., 2006; Parunak et al., 2005; Richards et al., 2002; Sauter et al., 2005)."
DISCUSSION,This result is consistent with the reported trend of providers ordering testing of more genes per patient.(25)
4. Experiments,"the additional foreground 1SVMs help our algorithm remembering the detected foreground appearance, and as a result, lead to better performance than previous work using only local background models such as [18, 5]."
Methods,"Those with alcohol dependence ever in lifetime met at least three symptoms of maladaptive pattern of alcohol use leading to clinically significant impairment or distress (Sheehan et al., 1998; American Psychiatric Association, 2000)."
