sectionName,string
2. Basic Concepts and Related Work,The authors of [3] study the problem of Early Application Identification and show that it is enough to know the length of the first four or five packets to
RESULTS AND DISCUSSION,"…inactivation (Charlton et al., 1982; Chaudhuri et al., 2005; Forsythe et al., 1998; Xu and Wu, 2005) and vesicle depletion (Custer et al., 2006; Pieribone et al., 1995; Schneggenburger et al., 2002; Xu and Wu, 2005) have varying dependence on the frequency of stimulation at different synapses,…"
Discussion,"In previous time-series studies, many lag structures were considered in multiple models, and the authors presented only the statistically significant results (Schwartz et al., 1997, 2000)."
Discussion,"In this sense, oligodendrogliomas can show similar pathological findings to liponeurocytoma [5, 6, 12, 18, 21, 24, 26], although Olig2 immunohistochemistry is reported to show a high possibility of positive results in oligodendroglioma, while neurocytomas are mostly negative [15, 20, 23]."
Introduction,Both the alleviation of fluid overload [3] as well as the provision of this necessary volume in the form of medications improve outcomes and mortality risk.
Results,"Work with non-neuronal cells has suggested that BCL-xL regulates the flux of metabolites across the outer mitochondrial membrane to facilitate transport of ATP into the cytosol after a death stimulus (Vander Heiden et al., 2000, 2001)."
7 EXPERIMENTS,"We have added the affordances to the definitions by hand, but we will look at ways to automate this, either based on semantic annotations provided with the CAD files as in [15], or possibly some geometric reasoning on part features."
3.2.2 Implementation,"To determine this canonical set of values, the parameters from the mathematical model of the leech HN neurons were used as a starting point because the silicon neurons were based on this mathematical model [54]."
6 OUTLOOK,"In [103], a gamma, X-ray, and high energy proton radiationtolerant SPAD has been developed for space applications."
Discussion,"Interestingly, within such a time interval, AMPAR translocation seems to occur predominantly between an intracellular somatic pool and extrasynaptic somatic sites (Adesnik et al., 2005)."
3. Lq convergence: general bound,"This section contains a generalisation of the basic results on multifractal products of stochastic processes developed in Kahane (1985), Kahane (1987) and Mannersalo et al (2002)."
1. Introduction,"Cold can activate sympathetic nerve system (SNS) to excrete norepinephrine, and then the BAT, which is rich in sympathetic nerve terminals, will produce more heat [11]."
6 Experiments,"We use 3 standard MLC benchmarks, as used by other recent approaches (Belanger & McCallum 2016; Gygli et al. 2017; Amos & Kolter 2017): Bibtex, Delicious, and Bookmarks."
METHODS,"The admission assessment included determining the risk factors for cerebral infarction,13,14 clinical ischemic stroke category (National Institute of Neurological Disorders and Stroke1), and disease severity using the National Institutes of Health Stroke Scale.15
 545
 Abbreviations
 AF = Atrial fibrillation
 LAA = Left atrial appendage
 LAA eV = LAA emptying flow velocity
 LAD = Left atrial dimension
 LAWV = LAA peak wall velocity
 ROC = Receiver operating characteristic
 SEC = Spontaneous echocardiographic contrast
 TEE = Transesophageal echocardiography
 TTE = Transthoracic echocardiography
 We defined patients who had no histories of AF and no documented AF on continuous electrocardiographic monitoring during hospitalization as the sinus rhythm group, patients who had histories of AF before admission and/or continuously documented AF on continuous electrocardiographic monitoring during hospitalization as having chronic AF, and patients who had AF at admission and recovered to normal sinus rhythm during hospitalization and/or showed sinus rhythm at admission and documented transient AF on continuous electrocardiographic monitoring during hospitalization as having paroxysmal AF."
Materials and methods,"…Accession P21334), al-2 (UniProt Accession P37295) and al-3 (UniProt Accession P24322) were used to search the genomic sequence of P. anserina [Espagne et al. 2008), published at http://www.genoscope.cns.fr/externe/ English/Projets/Projet_GA/GA.html (P. anserina sequencing consortium)] for…"
Methods,"The review protocol describes all steps performed during the review, reduces risk of bias, and increases its rigor, transparency, and repeatability [17]."
2.2 Methods,"In this paper, W , is an intermediate logic,resembling first order logic, that uses the meta-data gleaned from WordNet, and is used as an intermediary stepping logic that can be converted into another logic, such as a first order logic."
Discussion,"We demonstrate that the average amplitudes of contralateral PBR (cPBR) and ipsilateral NBR (iNBR) were negatively correlated as previously reported and thought to result from increased ipsilateral inhibition occurring concurrently with increased contralateral excitation (Klingner et al., 2010; Shmuel et al., 2002)."
,"18 De Cocker, 2011 [16] Belgium 1 1566 CABG, valve, combined, and other Prolonged > 2, 5, 7 days & continuous Prediction model"
