sectionName,string
Discussion,Drieghe et al. (2008) also demonstrated that such effects are most likely to arise on fixations that are within a few character positions of the parafoveal word.
7 Experimental Results,"This set of documents has been used before to evaluate coreference resolution sys-
tems in (Poon and Domingos, 2008; Haghighi and Klein, 2009; Raghunathan et al., 2010), with the best results so far obtained by the deterministic sieve system of Lee at al."
3. A REAL OPTION TO INVEST UNDER CHOQUET-BROWNIAN AMBIGUITY,"So far in the literature only the result for aversion to ambiguity had been established in the case of a perpetual option (Nishimura and Ozaki, 2007)."
5 Experiments,"I-SSGPR is trained with 200 and 400 sparse spectrum features, indicated as I-SSGPR200(400), where 200 features is the optimal design choice according to [13]."
,"2 is that, in the terminology of Mazur [12], we can compute both first and second twists of the universal family above X(n)."
Results,"SphK1 catalyzes the phosphorylation of sphingosine to sphingosine-1phosphate (S1P), thus decreasing the level of pro-apoptosis ceramide and increasing pro-survival S1P production [30]."
Discussion,"D222G, the mutation found in a virus isolate from a dead case (CBI10), is previously shown to be associated with the more virulent phenotype in humans and mice [19,21,22]."
RESULTS,"Suwazono et al.,
2006, Japan
Male employees
in steel industries 2426 shift, 3203 day
Mean age:
Shift 37.7 (SD 8.8) Day 35.1 (SD 9.9)
Rotating
night-shift
Type 2 diabetes HbA1c 6.0% 10 years OR¼ 1.35 (CI 1.05–1.75)
multivariate adj."
Introduction,"Previous quantitative genetic studies showed that the anaemia control measured by packed cell volume (PCV) is heritable and highly correlated with productivity (Trail et al. 1991a,b, 1993)."
,"Considering the non-ideal estimator, new algorithms were proposed [12]–[15] taking into account the erroneous CSI estimation."
DISCUSSION,"Typhimurium entry into M cells, as previous studies have shown an absence of PECAM-1 expression on in vitro cultured M-cell-like cells (25)."
,"As sequence data (from different organisms) are not sufficient for this purpose, several alternative approaches were suggested as compromises between using multigenes and using multiorganisms (e.g., Wray et al. 1996; Doolittle et al. 1996; Nikoh et al. 1997)."
Discussion,"We further investigated the propionylation sites identified in our previous report, which presented the prevalent lysine propionylation sites in T. thermophilus (Okanishi et al. 2014)."
4. CONCLUSION,"The problem is completely solved in the i.i.d case, however, it is not easy to check effectively, since it has been proved in Blondel et al. (2000) that computing the Lyapunov exponents is an NP-hard problem."
4. Discussion,"Various other reports that found Nestin expression in progenitor cells of diverse tissue types may suggest that this marker is indicative of a general precursor cell rather than one specifically committed to a neural lineage (About et al., 2000; Ha et al., 2003; Mokry and Nemecek, 1998; Niki et al., 1999; Sejersen and Lendahl, 1993; Zulewski et al., 2001)."
Catheter- and Pump-Related Complications,"In the other patient, pump migration within the abdominal wall interfered with bladder function and necessitated surgery to reposition the device (40)."
Effects of TACI-Ig and CTLA4-Ig treatment on inflammatory,"We have shown previously that the kidneys of NZB/W mice express a number of inflammatory mediators at the onset of proteinuria and that some of these decrease to prenephritic levels after remission induction, suggesting that they are biomarkers for active renal inflammation (19)."
Discussion,"Consistent with previous results (Koroch et al. 2002; Liu et al. 2002; Staniszewska et al. 2003; Washida et al. 2004), the addition of IBA at optimum levels enhanced the growth of HRC of Echinacea but had no effect on the production of secondary metabolites."
"De novo variants disrupt CHD3, SETD1A and WDR5 in probands with CAS","1 (chr2:172,788,173-174,646,059) in proband 06, detected previously in this proband using aCGH [11], was independently detected in our WGS analyses and now shown to represent a de novo structural variant."
Discussion,"In the testis, we have previously detected the expression of classical b-catenin signalling class Wnts, notably Wnt1 and Wnt2b [7]."
