sectionName,string
1 Introduction,"Other alternatives include an extension of the well-known (μ + λ) evolution strategy (ES) for mixed integer problems, MIES (Li et al., 2013) and the covariance matrix adaptation evolutionary strategy CMA-ES (Hansen, 2011)."
III. GAUSSIAN MULTIPLE-ACCESS RELAY CHANNEL WITH NON-CAUSAL SIDE INFORMATION,We splite the MARC with non-causal side information at the encoders into two MACs with non-causal side information and use the obtained results in [5] for MAC with non-causal side information at the encoders.
Discussion,"With the exception of a previously published analysis of the first of our two pooled studies (10); other investigations have associated parity with decreases in risk of colon and rectal cancer combined (6, 8, 21), or colon cancer alone (3, 15, 19-21, 27) but not rectal cancer."
Introduction,"…for ovarian and other similar cancer cell lines have shown an increase in infectivity through CAR-independent transduction, achieving higher reporter gene expression by several orders of magnitude in the primary tumor cells (Dmitriev et al., 1998; Kasono et al., 1999; Vanderkwaak et al., 1999)."
3. Discussion,"Israel is considered to be a lowto-intermediate incidence area of NPC; however, the incidence in North Africa is relatively higher [1, 2]."
INTRODUCTION,"sufficient to disrupt core PCP asymmetry and result in a loss or reversal of structural polarity (Adler et al., 2000; Bastock et al., 2003; Strutt and Strutt, 2007; Tree et al., 2002)."
1. Background,"In fact, as it has been previously demonstrated in many different studies, peripheral blood lymphocytes are hosts to viral replication (14-17), while granulocytes may be passively carrying the different forms of HBV DNA as a result of their phagocytic activity on dead hepatocytes in the liver."
DISCUSSION,"If charge is screened at the site of blocker interaction, rates of dissociation are unaffected (Anderson et al., 1988)."
BT )A and ∂∂ATr(A,"If we choose a sufficiently large β which eliminates consistencies between all worker pairs, Algorithm 1 collapses to the traditional semi-supervised algorithm [25] by treating all workers independently."
Methods,"…that relates the dependent variable (e.g., hand opening or pointing distance) to physical variations of the target sizes used in the experiment (Bruno & Franz, 2009; Dewar & Carey, 2006; Franz, 2003a,
2003b; Franz, Scharnowski, & Gegenfurtner, 2005; Glover & Dixon, 2002; Schenk et al., 2011)."
